,year,month,avg_temperature,max_temperature,min_temperature
0,1997,January,17,26,10
1,1997,February,17,26,11
2,1997,March,21,28,14
3,1997,April,24,29,19
4,1997,May,27,32,21
5,1997,June,28,32,23
6,1997,July,29,35,23
7,1997,August,29,37,25
8,1997,September,27,33,20
9,1997,October,27,32,19
10,1997,November,24,31,16
11,1997,December,20,27,12
12,1998,January,18,27,9
13,1998,February,18,27,9
14,1998,March,20,29,12
15,1998,April,25,33,19
16,1998,May,28,33,21
17,1998,June,29,33,22
18,1998,July,30,34,24
19,1998,August,30,35,25
20,1998,September,29,34,24
21,1998,October,27,33,21
22,1998,November,23,30,18
23,1998,December,19,28,14
24,1999,January,17,26,9
25,1999,February,19,28,12
26,1999,March,21,31,12
27,1999,April,25,32,18
28,1999,May,26,32,18
29,1999,June,30,35,25
30,1999,July,30,35,26
31,1999,August,29,36,24
32,1999,September,29,34,23
33,1999,October,27,33,20
34,1999,November,23,29,12
35,1999,December,17,24,5
36,2000,January,17,25,7
37,2000,February,17,25,8
38,2000,March,23,28,19
39,2000,April,24,29,19
40,2000,May,28,33,22
41,2000,June,29,34,22
42,2000,July,30,35,25
43,2000,August,29,35,25
44,2000,September,29,33,24
45,2000,October,27,33,19
46,2000,November,21,28,13
47,2000,December,19,26,11
48,2001,January,18,25,10
49,2001,February,18,27,10
50,2001,March,22,29,14
51,2001,April,24,33,15
52,2001,May,28,33,23
53,2001,June,29,35,24
54,2001,July,29,34,24
55,2001,August,30,35,25
56,2001,September,29,34,25
57,2001,October,27,33,21
58,2001,November,22,30,13
59,2001,December,18,29,8
60,2002,January,17,26,8
61,2002,February,19,26,9
62,2002,March,22,28,14
63,2002,April,26,33,17
64,2002,May,28,34,23
65,2002,June,30,35,24
66,2002,July,30,35,24
67,2002,August,29,35,24
68,2002,September,28,34,23
69,2002,October,26,31,18
70,2002,November,22,29,15
71,2002,December,18,29,6
72,2003,January,16,25,7
73,2003,February,20,27,12
74,2003,March,20,28,10
75,2003,April,25,32,19
76,2003,May,28,33,22
77,2003,June,29,34,24
78,2003,July,31,35,27
79,2003,August,30,35,25
80,2003,September,29,34,23
81,2003,October,26,32,20
82,2003,November,23,33,13
83,2003,December,18,27,10
84,2004,January,16,24,7
85,2004,February,18,26,7
86,2004,March,20,27,13
87,2004,April,24,32,18
88,2004,May,27,33,19
89,2004,June,30,36,25
90,2004,July,30,37,24
91,2004,August,30,36,25
92,2004,September,29,34,24
93,2004,October,26,32,20
94,2004,November,23,29,16
95,2004,December,19,27,7
96,2005,January,16,24,5
97,2005,February,17,26,8
98,2005,March,18,28,9
99,2005,April,24,30,14
100,2005,May,27,32,14
101,2005,June,28,34,19
102,2005,July,30,37,25
103,2005,August,29,34,24
104,2005,September,30,35,24
105,2005,October,27,34,20
106,2005,November,25,31,15
107,2005,December,18,26,10
108,2006,January,17,26,8
109,2006,February,19,26,10
110,2006,March,20,28,9
111,2006,April,25,33,15
112,2006,May,27,33,20
113,2006,June,29,35,23
114,2006,July,30,37,25
115,2006,August,29,34,25
116,2006,September,28,34,20
117,2006,October,28,32,23
118,2006,November,24,31,18
119,2006,December,19,29,12
120,2007,January,17,24,10
121,2007,February,21,26,11
122,2007,March,21,30,11
123,2007,April,23,31,12
124,2007,May,28,34,21
125,2007,June,30,35,23
126,2007,July,31,35,25
127,2007,August,29,35,25
128,2007,September,29,34,25
129,2007,October,27,33,21
130,2007,November,22,29,12
131,2007,December,20,27,12
132,2008,January,16,27,7
133,2008,February,13,21,7
134,2008,March,21,28,11
135,2008,April,24,31,17
136,2008,May,27,33,20
137,2008,June,28,34,24
138,2008,July,30,36,24
139,2008,August,29,34,24
140,2008,September,30,35,25
141,2008,October,28,32,23
142,2008,November,23,31,12
143,2008,December,19,27,10
144,2009,January,16,25,8
145,2009,February,22,29,15
146,2009,March,21,29,13
147,2009,April,23,30,17
148,2009,May,27,33,21
149,2009,June,29,34,24
150,2009,July,30,35,24
151,2009,August,30,36,25
152,2009,September,30,35,25
153,2009,October,28,33,23
154,2009,November,21,32,9
155,2009,December,18,25,10
156,2010,January,18,26,10
157,2010,February,19,29,7
158,2010,March,21,29,8
159,2010,April,22,29,13
160,2010,May,27,32,21
161,2010,June,28,34,21
162,2010,July,31,36,24
163,2010,August,30,35,25
164,2010,September,29,35,24
165,2010,October,26,34,16
166,2010,November,22,28,17
167,2010,December,18,28,5
168,2011,January,13,18,6
169,2011,February,17,28,8
170,2011,March,18,28,13
171,2011,April,24,31,18
172,2011,May,27,33,20
173,2011,June,30,36,24
174,2011,July,30,36,26
175,2011,August,31,36,25
176,2011,September,29,35,23
177,2011,October,26,31,21
178,2011,November,24,32,17
179,2011,December,17,25,10
180,2012,January,15,23,7
181,2012,February,17,27,9
182,2012,March,20,30,12
183,2012,April,25,31,19
184,2012,May,29,34,25
185,2012,June,30,34,26
186,2012,July,30,36,24
187,2012,August,30,36,26
188,2012,September,29,34,24
189,2012,October,27,31,18
190,2012,November,23,30,13
191,2012,December,18,27,7
192,2013,January,17,25,10
193,2013,February,20,27,11
194,2013,March,22,30,13
195,2013,April,23,31,16
196,2013,May,27,34,18
197,2013,June,29,36,23
198,2013,July,29,35,25
199,2013,August,30,34,25
200,2013,September,29,34,24
201,2013,October,27,32,19
202,2013,November,23,31,13
203,2013,December,16,25,9
204,2014,January,17,25,10
205,2014,February,16,26,6
206,2014,March,20,29,14
207,2014,April,24,30,18
208,2014,May,28,34,19
209,2014,June,30,36,25
210,2014,July,31,35,26
211,2014,August,30,36,24
212,2014,September,30,35,26
213,2014,October,28,35,23
214,2014,November,24,30,18
215,2014,December,17,26,11
216,2015,January,18,25,11
217,2015,February,19,28,11
218,2015,March,22,29,15
219,2015,April,24,32,15
220,2015,May,29,34,23
221,2015,June,31,36,25
222,2015,July,30,35,25
223,2015,August,30,37,25
224,2015,September,30,34,25
225,2015,October,27,33,19
226,2015,November,25,31,15
227,2015,December,19,28,11
228,2016,January,16,25,3
229,2016,February,16,28,8
230,2016,March,19,27,10
231,2016,April,25,30,20
232,2016,May,28,33,21
233,2016,June,31,36,25
234,2016,July,31,36,25
235,2016,August,30,35,25
236,2016,September,29,35,23
237,2016,October,28,32,21
238,2016,November,23,31,13
239,2016,December,20,27,11
240,2017,January,19,27,13
241,2017,February,18,26,10
242,2017,March,21,27,14
243,2017,April,24,31,16
